category,rank,dataset_index,example_id,question,gold_answer,gold_program,A_program,A_correct,B_program,B_correct,C_reasoning_program,C_independent_program,C_final_program,C_correct,D_reasoning_program,D_independent_program,D_verifier_final_program,D_coordinator_decision,D_final_program,D_correct
A_only_correct,3,61,HIG/2004/page_140.pdf-1,in the adoption of the prospective method what was the ratio of the other comprehensive income to the net income reclassifying certain separate accounts to general account,9.8,"divide(294, 30)","divide(294, 30)",True,"divide(30, 294)",False,"divide(30, 294)","divide(30, 294)","divide(30, 294)",False,"divide(30, 294)","divide(30, 294)","divide(30, 294)","The question asks for the ratio of other comprehensive income to net income for the reclassification of certain separate accounts to general account. The evidence shows net income of 30 and other comprehensive income of 294 for this specific component. The ratio is correctly calculated as 30 divided by 294. No percentage scaling is required as the question asks for a ratio, not a percentage.","divide(30, 294)",False
A_only_correct,4,82,AMT/2012/page_50.pdf-3,what was the ratio of the purchase in december 2012 to the purchase in january 2013,6.48512,"divide(102400, 15790)","divide(102400, 15790)",True,"divide(46.0, 1.2)",False,"divide(46.0, 1.2)","divide(46.0, 1.2)","divide(46.0, 1.2)",False,"divide(46.0, 1.2)","divide(46.0, 1.2)","divide(46.0, 1.2)","The question asks for the ratio of the purchase in December 2012 to the purchase in January 2013. The evidence shows the December 2012 purchase was $46.0 million. The January 2013 purchase is reported as $1.2 million for 15,790 shares, which is consistent with the context. The calculation divide(46.0, 1.2) correctly computes this ratio. Both agents agree, and the values are correctly extracted from the evidence. No percentage scaling or unit conversion is needed as the question asks for a ratio, not a percentage.","divide(46.0, 1.2)",False
A_only_correct,5,148,CME/2017/page_40.pdf-5,did the cme group inc . outperform the s&p 500 over 5 years?,yes,"greater(370.32, 323.23)","subtract(370.32, 164.01), subtract(208.14, 132.39), divide(#0, 164.01), divide(#1, 132.39), greater(#2, #3)",True,"divide(370.32, 164.01), divide(208.14, 132.39)",False,"divide(370.32, 208.14)","divide(370.32, 208.14)","divide(370.32, 208.14)",False,"divide(370.32, 208.14)","divide(370.32, 208.14)","divide(370.32, 208.14)","The question asks whether CME Group outperformed the S&P 500 over 5 years, which requires comparing the final values of $370.32 (CME) and $208.14 (S&P 500) starting from a $100 investment. The ratio of final values directly indicates relative performance. Since the result is greater than 1, CME outperformed. The program divide(370.32, 208.14) correctly computes this ratio.","divide(370.32, 208.14)",False
B_execution_correct_program_mismatch,1,13,JKHY/2019/page_18.pdf-3,was the five year total return of the 2019 peer group greater than the 2018 peer group?,no,"greater(281.09, 286.22)","subtract(281.09, 100.00), subtract(286.22, 100.00), greater(#0, #1)",True,"subtract(281.09, 100.00), divide(#0, 100.00), subtract(286.22, 100.00), divide(#2, 100.00), greater(#1, #3)",True,"subtract(281.09, 100.00), divide(#0, 100.00), subtract(286.22, 100.00), divide(#2, 100.00)",,,False,"subtract(281.09, 286.22)","greater(281.09, 286.22)","greater(281.09, 286.22)","The question asks whether the five-year total return of the 2019 peer group was greater than that of the 2018 peer group. The total return is represented by the final value in 2019 (281.09) compared to the 2018 peer group's final value (286.22). The correct comparison is a direct greater-than check between these two values. The Verification Agent's program correctly captures this comparison, and the Reasoning Agent's program incorrectly computes the difference instead of making the required comparison. The verifier's verdict and proposed program are correct.","greater(281.09, 286.22)",True
B_execution_correct_program_mismatch,2,15,MRO/2011/page_108.pdf-1,"what was the average net annual change in discounted future net cash flows ( in millions ) for the years 2011 , 2010 , and 2009?",3297.66667,"table_average(net change for the year, none)","table_average(net change for the year, none)",True,"add(1620, 3625), add(#0, 4648), divide(#1, const_3)",True,"add(4648, 3625), add(#0, 1620), divide(#1, const_3)","add(4648, 3625), add(#0, 1620), divide(#1, const_3)","add(4648, 3625), add(#0, 1620), divide(#1, const_3)",True,"add(4648, 3625), add(#0, 1620), divide(#1, const_3)","add(4648, 3625), add(#0, 1620), divide(#1, const_3)","add(4648, 3625), add(#0, 1620), divide(#1, const_3)","The Reasoning Agent and Verification Agent both propose the same program, which correctly sums the net changes for 2011, 2010, and 2009 (4648 + 3625 + 1620 = 9893) and divides by 3 to compute the average. The values are directly from the 'net change for the year' row in the table, and the question asks for the average of these three annual changes. No percentage scaling is needed as the result should be a decimal value in millions. The program uses valid operations and correct sequential referencing.","add(4648, 3625), add(#0, 1620), divide(#1, const_3)",True
B_execution_correct_program_mismatch,3,16,RCL/2012/page_75.pdf-1,"assuming each continent has the same number of destinations , approximately how many destinations does each continent have?",65.0,"divide(455, const_7)","divide(455, 7)",True,"divide(455, 7)",True,"divide(455, 7)","divide(455, 7)","divide(455, 7)",True,"divide(455, 7)","divide(455, 7)","divide(455, 7)","The question asks for the approximate number of destinations per continent, given that there are 455 destinations across 7 continents. Dividing 455 by 7 yields the correct average number of destinations per continent. Both agents propose the same correct program, and the verification is valid. The calculation is mathematically sound and matches the evidence.","divide(455, 7)",True
B_execution_correct_program_mismatch,4,38,GS/2017/page_179.pdf-4,"what is the total amount of stock options cancelled in millions during 2017 , 2016 and 2015?",12.1,"add(4.6, 5.5), add(#0, const_2)","add(4.6, 5.5), add(#0, 2.0)",True,"add(4.6, 5.5), add(#0, 2.0)",True,"add(4.6, 5.5), add(#0, 2.0)","add(4.6, 5.5), add(#0, 2.0)","add(4.6, 5.5), add(#0, 2.0)",True,"add(4.6, 5.5), add(#0, 2.0)","add(4.6, 5.5), add(#0, 2.0)","add(4.6, 5.5), add(#0, 2.0)","The evidence states that the firm cancelled 4.6 million, 5.5 million, and 2.0 million stock options in 2017, 2016, and 2015, respectively. The proposed program correctly adds these values: 4.6 + 5.5 = 10.1, then 10.1 + 2.0 = 12.1. The values are directly from the evidence, and the operations are correctly sequenced. No percentage scaling or unit conversion is needed as the question asks for the total in millions.","add(4.6, 5.5), add(#0, 2.0)",True
B_execution_correct_program_mismatch,5,53,ILMN/2008/page_82.pdf-1,during 2008 what was the share price of the warrants exercised\\n,1e-05,"divide(const_3, 401362)","divide(3.0, 401362)",True,"divide(3.0, 401362)",True,"divide(3.0, 401362)","divide(3.0, 401362)","divide(3.0, 401362)",True,"divide(3.0, 401362)","divide(3.0, 401362)","divide(3.0, 401362)","The question asks for the share price of warrants exercised in 2008. The evidence states that 401,362 warrants were exercised, resulting in cash proceeds of $3.0 million. The share price is calculated by dividing total cash proceeds by the number of warrants exercised. The calculation divide(3.0, 401362) correctly computes the average price per warrant in millions of dollars, which is the appropriate unit. No percentage scaling or unit conversion is needed. The reasoning and verification programs are correct.","divide(3.0, 401362)",True
B_invalid_program,1,32,AAPL/2006/page_100.pdf-3,"what was the greatest provision for income taxes , in millions?",829.0,"table_max(provision for income taxes, none)","table_max(provision for income taxes, none)",True,"table_max(829, 480, 104)",False,table_max(provision for income taxes),table_max(provision for income taxes),table_max(provision for income taxes),False,table_max(provision for income taxes),table_max(provision for income taxes),table_max(provision for income taxes),"The question asks for the greatest provision for income taxes in millions. The evidence table shows the 'provision for income taxes' values for 2006, 2005, and 2004 as $829, $480, and $104 million respectively. The maximum value is $829 million, which corresponds to 2006. The table_max operation correctly identifies this value. Both agents agree, and the operation is valid and correctly applied.",table_max(provision for income taxes),False
B_invalid_program,2,105,EOG/2018/page_75.pdf-1,"considering the years 2016-2018 , what is the average ending balance for valuation allowances for deferred income tax assets?",338928.0,"table_average(ending balance, none)","table_average(ending balance, none)",True,"table_average(167142, 466421, 383221)",False,"add(383221, 466421), add(#0, 167142), divide(#1, const_3)","add(383221, 466421), add(#0, 167142), divide(#1, const_3)","add(383221, 466421), add(#0, 167142), divide(#1, const_3)",True,"add(383221, 466421), add(#0, 167142), divide(#1, const_3)","add(383221, 466421), add(#0, 167142), divide(#1, const_3)","add(383221, 466421), add(#0, 167142), divide(#1, const_3)","The reasoning and verification agents both propose the same program, which correctly identifies the ending balances for 2016 ($383,221), 2017 ($466,421), and 2018 ($167,142) from the table. The program sums these three values and divides by 3 to compute the average. The values are correctly extracted from the 'ending balance' row for the years 2016-2018. The operations are sequential and use valid FinQA syntax. The division by const_3 is appropriate for computing the average. No percentage scaling is needed as the question asks for the average ending balance, not a percentage. The program is correct.","add(383221, 466421), add(#0, 167142), divide(#1, const_3)",True
B_invalid_program,3,108,UNP/2007/page_25.pdf-1,what was the operating expenses in 2006 in millions,2688.88889,"divide(242, 9%)","subtract(3277, 2426), subtract(#0, 364)",False,2880,False,2880,2880,2880,False,2880,,,"The question asks for the operating expenses in 2006 in millions. The financial evidence shows that 'cash provided by operating activities' for 2006 is $2880 million. This is the correct value directly from the table. No calculation is needed as the question asks for a direct value, not a derived metric like growth rate or percentage change.",2880,False
B_invalid_program,4,160,MKTX/2004/page_99.pdf-1,"as of december 31 , 2004 , how many shares of common stock were outstanding?",120000000.0,"add(110000000, 10000000)","subtract(2014, 177973), multiply(#0, const_1000)",False,1939734,False,"add(1939734, 1937141)",1939734,1939734,False,"add(1939734, 1937141)",1939734,1939734,"The Reasoning Agent incorrectly adds the 2004 and 2003 common stock shares, which is not valid. The question asks for the number of shares outstanding as of December 31, 2004. The evidence directly states that as of December 31, 2004, the company had 1,939,734 shares of common stock issued to employees. The table entry 'as of december 31 , 2004' under the '2005' row is labeled '2014', which is clearly a typo or formatting error and not a valid number. The correct value is explicitly given in the text: 1,939,734 shares. The Verification Agent correctly identifies this value.",1939734,False
B_invalid_program,5,188,SLG/2011/page_91.pdf-1,what amount did the compensation committee put into the maximum performance pool between jan 1 2006 and dec 31 2007?,72075000.0,"add(22825000, 49250000)","divide(49250000, const_100)",False,49250000,False,"divide(49250000, const_100)",49250000,49250000,False,49250000,49250000,49250000,"The original evidence explicitly states that the maximum performance pool of $49,250,000 was established on June 8, 2006, under the 2005 outperformance plan, and this amount is directly relevant to the question covering the period from January 1, 2006, to December 31, 2007. The value is correctly extracted from the evidence without any calculation needed. Both agents correctly identified this value, and the verifier confirmed it. No arithmetic or scaling is required.",49250000,False
B_lost_A_correct_answer,1,8,MO/2016/page_19.pdf-1,did altria outperform the s&p 500?,yes,"greater(286.61, 198.09)","subtract(286.61, 100.00), subtract(198.09, 100.00), divide(#0, 100.00), divide(#1, 100.00), greater(#2, #3)",True,"divide(286.61, 198.09)",False,"divide(286.61, 198.09)","divide(286.61, 198.09)","divide(286.61, 198.09)",False,"divide(286.61, 198.09)","divide(286.61, 198.09)","divide(286.61, 198.09)","The question asks whether Altria outperformed the S&P 500, which requires comparing their cumulative total shareholder returns. The evidence shows Altria's return was $286.61 and the S&P 500's was $198.09 as of December 2016. The correct calculation is the ratio of Altria's return to the S&P 500's return. The proposed program divide(286.61, 198.09) correctly computes this ratio, which indicates outperformance (greater than 1). No percentage scaling is needed as the question is about relative performance, not a percentage value.","divide(286.61, 198.09)",False
B_lost_A_correct_answer,2,9,CMCSA/2015/page_112.pdf-2,what was the change in unrecognized tax benefits from the end of 2014 to the end of 2015?,-35.0,"subtract(1136, 1171)","subtract(1136, 1171)",True,"subtract(1171, 1136)",False,"subtract(1171, 1136)","subtract(1136, 1171)","subtract(1136, 1171)",True,"subtract(1136, 1171)","subtract(1136, 1171)","subtract(1136, 1171)","The change in unrecognized tax benefits from the end of 2014 to the end of 2015 is correctly calculated as the difference between the December 31, 2015 balance and the December 31, 2014 balance. The values $1,136 million (2015) and $1,171 million (2014) are directly from the table. The subtraction direction is correct: later year minus earlier year. No percentage scaling or unit conversion is needed; the question asks for the change, not a rate. Both agents agree and the calculation is valid.","subtract(1136, 1171)",True
B_lost_A_correct_answer,3,32,AAPL/2006/page_100.pdf-3,"what was the greatest provision for income taxes , in millions?",829.0,"table_max(provision for income taxes, none)","table_max(provision for income taxes, none)",True,"table_max(829, 480, 104)",False,table_max(provision for income taxes),table_max(provision for income taxes),table_max(provision for income taxes),False,table_max(provision for income taxes),table_max(provision for income taxes),table_max(provision for income taxes),"The question asks for the greatest provision for income taxes in millions. The evidence table shows the 'provision for income taxes' values for 2006, 2005, and 2004 as $829, $480, and $104 million respectively. The maximum value is $829 million, which corresponds to 2006. The table_max operation correctly identifies this value. Both agents agree, and the operation is valid and correctly applied.",table_max(provision for income taxes),False
B_lost_A_correct_answer,4,39,MKTX/2004/page_99.pdf-3,"in 2004 and 2003 , what were the total shares of common stock that were issued to employees?",3876875.0,"add(1939734, 1937141)","add(1939734, 1937141)",True,"subtract(1939734, 1937141)",False,"subtract(1939734, 1937141)","add(1939734, 1937141)","add(1939734, 1937141)",True,"subtract(1939734, 1937141)","add(1939734, 1937141)","add(1939734, 1937141)","The question asks for the total shares issued to employees in 2004 and 2003, which requires summing the shares from both years. The Reasoning Agent incorrectly used subtraction, which would give the change, not the total. The Verification Agent correctly used addition to sum the two values. The values 1939734 and 1937141 are explicitly stated in the evidence for 2004 and 2003 respectively. The final program correctly computes the total shares issued over the two years.","add(1939734, 1937141)",True
