dataset_index,example_id,question,gold_answer,gold_program,execution_correct_pattern,pattern_label,number_correct_architectures,a_execution_correct,a_program_correct,a_program_valid,a_executable,a_failure_category,a_generated_program,a_predicted_answer,b_execution_correct,b_program_correct,b_program_valid,b_executable,b_failure_category,b_generated_program,b_predicted_answer,c_execution_correct,c_program_correct,c_program_valid,c_executable,c_failure_category,c_generated_program,c_predicted_answer,d_execution_correct,d_program_correct,d_program_valid,d_executable,d_failure_category,d_generated_program,d_predicted_answer,c_reasoning_program,c_reasoning_correct,c_independent_verifier_program,c_independent_verifier_correct,c_verifier_verdict,c_verifier_corrected_error,c_verifier_broke_correct,d_reasoning_program,d_reasoning_correct,d_independent_verifier_program,d_independent_verifier_correct,d_verifier_final_program,d_verifier_final_correct,d_coordinator_decision,d_coordinator_corrected_error,d_coordinator_broke_correct
10,STT/2007/page_111.pdf-3,what is the growth rate in the balance of standby letters of credit from 2006 to 2007?,-0.04365,"subtract(4711, 4926), divide(#0, 4926)",ABCD,all_correct,4,True,True,True,True,program_correct,"subtract(4711, 4926), divide(#0, 4926)",-0.04365,True,True,True,True,program_correct,"subtract(4711, 4926), divide(#0, 4926)",-0.04365,True,True,True,True,program_correct,"subtract(4711, 4926), divide(#0, 4926)",-0.04365,True,True,True,True,program_correct,"subtract(4711, 4926), divide(#0, 4926)",-0.04365,"subtract(4711, 4926), divide(#0, 4926)",True,"subtract(4711, 4926), divide(#0, 4926)",True,agree,False,False,"subtract(4711, 4926), divide(#0, 4926)",True,"subtract(4711, 4926), divide(#0, 4926)",True,"subtract(4711, 4926), divide(#0, 4926)",True,"The calculation correctly computes the growth rate as (2007 balance - 2006 balance) / 2006 balance. The values 4711 (2007) and 4926 (2006) are correctly extracted from the table. The subtraction direction is correct (later minus earlier), and the denominator is the 2006 value. The result is a decimal ratio, which is appropriate for a growth rate. No percentage scaling is needed as the question asks for the growth rate, not a percentage.",False,False
11,UAA/2016/page_42.pdf-2,what is the debt-to-asset ratio?,0.22429,"divide(817388, 3644331)",ABCD,all_correct,4,True,True,True,True,program_correct,"divide(817388, 3644331)",0.22429,True,True,True,True,program_correct,"divide(817388, 3644331)",0.22429,True,True,True,True,program_correct,"divide(817388, 3644331)",0.22429,True,True,True,True,program_correct,"divide(817388, 3644331)",0.22429,"divide(817388, 3644331)",True,"divide(817388, 3644331)",True,agree,False,False,"divide(817388, 3644331)",True,"divide(817388, 3644331)",True,"divide(817388, 3644331)",True,"The debt-to-asset ratio is correctly calculated as total debt divided by total assets. The values from the table at December 31, 2016, are 817,388 (total debt) and 3,644,331 (total assets). The division is correct, and no percentage scaling is needed as the ratio should be expressed as a decimal.",False,False
12,GIS/2018/page_110.pdf-2,what portion of the total noncancelable future lease commitments are due in fiscal year of 2019?,0.24566,"divide(137.4, 559.3)",ABCD,all_correct,4,True,True,True,True,program_correct,"divide(137.4, 559.3)",0.24566,True,True,True,True,program_correct,"divide(137.4, 559.3)",0.24566,True,True,True,True,program_correct,"divide(137.4, 559.3)",0.24566,True,True,True,True,program_correct,"divide(137.4, 559.3)",0.24566,"divide(137.4, 559.3)",True,"divide(137.4, 559.3)",True,agree,False,False,"divide(137.4, 559.3)",True,"divide(137.4, 559.3)",True,"divide(137.4, 559.3)",True,"The question asks for the portion of total noncancelable future lease commitments due in fiscal year 2019, which requires dividing the 2019 operating lease commitment by the total noncancelable future lease commitments. Both agents correctly identify the values and the operation. The result is a decimal ratio, not a percentage, so no multiplication by 100 is needed. The program is correct and matches the evidence.",False,False
13,JKHY/2019/page_18.pdf-3,was the five year total return of the 2019 peer group greater than the 2018 peer group?,no,"greater(281.09, 286.22)",ABD,correct_ABD,3,True,False,True,True,execution_correct_program_mismatch,"subtract(281.09, 100.00), subtract(286.22, 100.00), greater(#0, #1)",no,True,False,True,True,execution_correct_program_mismatch,"subtract(281.09, 100.00), divide(#0, 100.00), subtract(286.22, 100.00), divide(#2, 100.00), greater(#1, #3)",no,False,False,False,False,invalid_program,,,True,True,True,True,program_correct,"greater(281.09, 286.22)",no,"subtract(281.09, 100.00), divide(#0, 100.00), subtract(286.22, 100.00), divide(#2, 100.00)",False,,False,,False,False,"subtract(281.09, 286.22)",False,"greater(281.09, 286.22)",True,"greater(281.09, 286.22)",True,"The question asks whether the five-year total return of the 2019 peer group was greater than that of the 2018 peer group. The total return is represented by the final value in 2019 (281.09) compared to the 2018 peer group's final value (286.22). The correct comparison is a direct greater-than check between these two values. The Verification Agent's program correctly captures this comparison, and the Reasoning Agent's program incorrectly computes the difference instead of making the required comparison. The verifier's verdict and proposed program are correct.",False,False
14,AWK/2014/page_121.pdf-2,what was the percentage change in deferred tax assets and regulatory assets from 2013 to 2014,0.01714,"subtract(6348, 6241), divide(#0, 6241)",,none_correct,0,False,False,True,True,executable_wrong_answer,"subtract(195237, 177947), divide(#0, 177947), multiply(#1, const_100)",9.71638,False,False,True,True,executable_wrong_answer,"subtract(6348, 6241), divide(#0, 6241), multiply(#1, const_100)",1.71447,False,False,True,True,executable_wrong_answer,"subtract(6348, 6241), divide(#0, 6241), multiply(#1, const_100)",1.71447,False,False,True,True,executable_wrong_answer,"subtract(6348, 6241), divide(#0, 6241), multiply(#1, const_100)",1.71447,"subtract(6348, 6241), divide(#0, 6241), multiply(#1, const_100)",False,"subtract(6348, 6241), divide(#0, 6241), multiply(#1, const_100)",False,agree,False,False,"subtract(6348, 6241), divide(#0, 6241), multiply(#1, const_100)",False,"subtract(6348, 6241), divide(#0, 6241), multiply(#1, const_100)",False,"subtract(6348, 6241), divide(#0, 6241), multiply(#1, const_100)",False,"The values 6348 and 6241 are correctly extracted from the evidence for deferred tax assets and regulatory assets at December 31, 2014 and 2013, respectively. The percentage change is calculated as (6348 - 6241) / 6241, then scaled to a percentage by multiplying by 100. The program correctly computes the percentage change.",False,False
15,MRO/2011/page_108.pdf-1,"what was the average net annual change in discounted future net cash flows ( in millions ) for the years 2011 , 2010 , and 2009?",3297.66667,"table_average(net change for the year, none)",ABCD,all_correct,4,True,True,True,True,program_correct,"table_average(net change for the year, none)",3297.66667,True,False,True,True,execution_correct_program_mismatch,"add(1620, 3625), add(#0, 4648), divide(#1, const_3)",3297.66667,True,False,True,True,execution_correct_program_mismatch,"add(4648, 3625), add(#0, 1620), divide(#1, const_3)",3297.66667,True,False,True,True,execution_correct_program_mismatch,"add(4648, 3625), add(#0, 1620), divide(#1, const_3)",3297.66667,"add(4648, 3625), add(#0, 1620), divide(#1, const_3)",True,"add(4648, 3625), add(#0, 1620), divide(#1, const_3)",True,agree,False,False,"add(4648, 3625), add(#0, 1620), divide(#1, const_3)",True,"add(4648, 3625), add(#0, 1620), divide(#1, const_3)",True,"add(4648, 3625), add(#0, 1620), divide(#1, const_3)",True,"The Reasoning Agent and Verification Agent both propose the same program, which correctly sums the net changes for 2011, 2010, and 2009 (4648 + 3625 + 1620 = 9893) and divides by 3 to compute the average. The values are directly from the 'net change for the year' row in the table, and the question asks for the average of these three annual changes. No percentage scaling is needed as the result should be a decimal value in millions. The program uses valid operations and correct sequential referencing.",False,False
16,RCL/2012/page_75.pdf-1,"assuming each continent has the same number of destinations , approximately how many destinations does each continent have?",65.0,"divide(455, const_7)",ABCD,all_correct,4,True,False,True,True,execution_correct_program_mismatch,"divide(455, 7)",65.0,True,False,True,True,execution_correct_program_mismatch,"divide(455, 7)",65.0,True,False,True,True,execution_correct_program_mismatch,"divide(455, 7)",65.0,True,False,True,True,execution_correct_program_mismatch,"divide(455, 7)",65.0,"divide(455, 7)",True,"divide(455, 7)",True,agree,False,False,"divide(455, 7)",True,"divide(455, 7)",True,"divide(455, 7)",True,"The question asks for the approximate number of destinations per continent, given that there are 455 destinations across 7 continents. Dividing 455 by 7 yields the correct average number of destinations per continent. Both agents propose the same correct program, and the verification is valid. The calculation is mathematically sound and matches the evidence.",False,False
17,ETR/2017/page_372.pdf-1,what was the average net revenue between 2016 and 2017 in millions,705.25,"add(703.1, 705.4), add(#0, const_2), divide(#1, const_2)",,none_correct,0,False,False,True,True,executable_wrong_answer,"add(705.4, 703.1), divide(#0, const_2)",704.25,False,False,True,True,executable_wrong_answer,"add(705.4, 703.1), divide(#0, const_2)",704.25,False,False,True,True,executable_wrong_answer,"add(705.4, 703.1), divide(#0, const_2)",704.25,False,False,True,True,executable_wrong_answer,"add(705.4, 703.1), divide(#0, const_2)",704.25,"add(705.4, 703.1), divide(#0, const_2)",False,"add(705.4, 703.1), divide(#0, const_2)",False,agree,False,False,"add(705.4, 703.1), divide(#0, 2)",False,"add(705.4, 703.1), divide(#0, const_2)",False,"add(705.4, 703.1), divide(#0, const_2)",False,The average net revenue between 2016 and 2017 is correctly computed by summing the two values and dividing by 2. Both agents use the correct values from the table (705.4 and 703.1) and the correct operation sequence. The use of const_2 is equivalent to 2 and is valid. The program correctly computes the arithmetic mean.,False,False
18,ADBE/2008/page_89.pdf-3,the combined amount of accrued interest and penalties related to tax positions taken on our tax returns and included in non-current income taxes payable was what percent of the total ending balance as of november 28 2008?,0.10964,"divide(139549, const_1000), divide(15.3, #0)",,none_correct,0,False,False,True,True,executable_wrong_answer,"divide(15.3, 139.549), multiply(#0, const_100)",10.96389,False,False,True,True,executable_wrong_answer,"divide(15.3, 139549), multiply(#0, const_100)",0.01096,False,False,True,True,executable_wrong_answer,"divide(15.3, 139549), multiply(#0, const_100)",0.01096,False,False,True,True,executable_wrong_answer,"divide(15.3, 139549), multiply(#0, const_100)",0.01096,"divide(15.3, 139549), multiply(#0, const_100)",False,"divide(15.3, 139549), multiply(#0, const_100)",False,agree,False,False,"divide(15.3, 139549), multiply(#0, const_100)",False,"divide(15.3, 139549), multiply(#0, const_100)",False,"divide(15.3, 139549), multiply(#0, const_100)",False,"The calculation correctly computes the percentage of accrued interest and penalties ($15.3 million) relative to the total ending balance of unrecognized tax benefits ($139,549 million) as of November 28, 2008. The values are directly from the evidence, and the percentage scaling via multiply by 100 is appropriate because the question asks for a percentage. The program is sequential and uses valid operations.",False,False
19,JPM/2010/page_273.pdf-2,"in 2010 and 2009 , what was the total fair value in billions of assets segregated for the benefit of securities and futures brokerage customers?",68.9,"add(25.0, 24.0), add(9.7, 10.2), add(#1, #0)",,none_correct,0,False,False,True,True,executable_wrong_answer,"add(9.7, 10.2)",19.9,False,False,True,True,executable_wrong_answer,"add(9.7, 10.2)",19.9,False,False,True,True,executable_wrong_answer,"add(9.7, 10.2)",19.9,False,False,True,True,executable_wrong_answer,"add(9.7, 10.2)",19.9,"add(9.7, 10.2)",False,"add(9.7, 10.2)",False,agree,False,False,"add(9.7, 10.2)",False,"add(9.7, 10.2)",False,"add(9.7, 10.2)",False,"The question asks for the total fair value in billions of assets segregated for the benefit of securities and futures brokerage customers in 2010 and 2009. The evidence states that as of December 31, 2010, securities with a fair value of $9.7 billion were segregated, and as of December 31, 2009, securities with a fair value of $10.2 billion were segregated. Adding these two values gives the total fair value across both years. The values are already in billions, so no unit conversion is needed. The calculation is correct.",False,False
20,PNC/2012/page_68.pdf-2,what was the percentage change in the commercial mortgage loans designated for sale at fair value from 2008 to 2009,-0.08422,"subtract(772, 843), divide(#0, 843)",,none_correct,0,False,False,True,True,executable_wrong_answer,"subtract(772, 843), divide(#0, 843), multiply(#1, const_100)",-8.4223,False,False,True,True,executable_wrong_answer,"subtract(843, 772), divide(#0, 843), multiply(#1, const_100)",8.4223,False,False,False,False,invalid_program,null,,False,False,True,True,executable_wrong_answer,"subtract(843, 772), divide(#0, 843), multiply(#1, const_100)",8.4223,"subtract(843, 772), divide(#0, 843), multiply(#1, const_100)",False,null,False,disagree,False,False,"subtract(843, 772), divide(#0, 843), multiply(#1, const_100)",False,null,False,null,False,"The Reasoning Agent's program is correct. The percentage change from 2008 to 2009 is calculated as (value in 2009 - value in 2008) / value in 2008. The evidence shows commercial mortgage loans at fair value were $843 million in 2011 and $772 million in 2012. However, the question asks for the change from 2008 to 2009, but the evidence only provides data for 2011 and 2012. The Reasoning Agent incorrectly uses 2011 and 2012 values as 2008 and 2009. The correct values for 2008 and 2009 are not present in the evidence. Therefore, the question cannot be answered with the given data. However, since the Reasoning Agent's calculation logic is correct and the only available data is for 2011 and 2012, and the Verifier provides no alternative, the Reasoning Agent's program is the only viable option despite the year mismatch. The Verifier's verdict of 'disagree' is invalid because no alternative program is provided. Thus, the Reasoning Agent's program is selected.",False,False
21,FIS/2016/page_31.pdf-2,"what was the difference in percentage cumulative 5-year total shareholder return on common stock fidelity national information services , inc . compared to the s&p 500 for the period ending 12/16?",1.1363,"subtract(198.18, const_100), divide(#0, const_100), subtract(311.81, const_100), divide(#2, const_100), subtract(#3, #1)",,none_correct,0,False,False,True,True,executable_wrong_answer,"subtract(311.81, 198.18)",113.63,False,False,True,True,executable_wrong_answer,"subtract(311.81, 198.18)",113.63,False,False,True,True,executable_wrong_answer,"subtract(311.81, 198.18)",113.63,False,False,True,True,executable_wrong_answer,"subtract(311.81, 198.18)",113.63,"subtract(311.81, 198.18)",False,"subtract(311.81, 198.18)",False,agree,False,False,"subtract(311.81, 198.18)",False,"subtract(311.81, 198.18)",False,"subtract(311.81, 198.18)",False,"The question asks for the difference in percentage cumulative 5-year total shareholder return, which is the difference between the two values at 12/16. The Reasoning Agent and Verification Agent both correctly compute the difference between Fidelity's return (311.81) and the S&P 500 return (198.18), which is the correct absolute difference in cumulative returns. No further scaling or percentage conversion is needed because the values are already in percentage terms (relative to a $100 investment).",False,False
22,AMT/2016/page_49.pdf-1,for the quarter ended march 312015 what was the percentage change in the share price from the highest to the lowest,0.09302,"subtract(101.88, 93.21), divide(#0, 93.21)",,none_correct,0,False,False,True,True,executable_wrong_answer,"subtract(101.88, 93.21), divide(#0, 93.21), multiply(#1, const_100)",9.30158,False,False,True,True,executable_wrong_answer,"subtract(101.88, 93.21), divide(#0, 93.21), multiply(#1, const_100)",9.30158,False,False,True,True,executable_wrong_answer,"subtract(101.88, 93.21), divide(#0, 93.21), multiply(#1, const_100)",9.30158,False,False,True,True,executable_wrong_answer,"subtract(101.88, 93.21), divide(#0, 93.21), multiply(#1, const_100)",9.30158,"subtract(101.88, 93.21), divide(#0, 93.21), multiply(#1, const_100)",False,"subtract(101.88, 93.21), divide(#0, 93.21), multiply(#1, const_100)",False,agree,False,False,"subtract(101.88, 93.21), divide(#0, 93.21), multiply(#1, const_100)",False,"subtract(101.88, 93.21), divide(#0, 93.21), multiply(#1, const_100)",False,"subtract(101.88, 93.21), divide(#0, 93.21), multiply(#1, const_100)",False,"The calculation correctly identifies the highest (101.88) and lowest (93.21) share prices for the quarter ended March 31, 2015, computes the difference, divides by the lowest price to get the growth rate, and scales by 100 to express as a percentage. All values are from the evidence, and the operations are correct.",False,False
23,MAR/2018/page_43.pdf-2,of the total contractual obligations and off-balance sheet arrangements contractual obligations what percentage is due to capital lease obligations?,0.01741,"divide(230, 13208)",,none_correct,0,False,False,True,True,executable_wrong_answer,"divide(230, 13208), multiply(#0, const_100)",1.74137,False,False,True,True,executable_wrong_answer,"divide(230, 13208), multiply(#0, const_100)",1.74137,False,False,True,True,executable_wrong_answer,"divide(230, 13208), multiply(#0, const_100)",1.74137,False,False,True,True,executable_wrong_answer,"divide(230, 13208), multiply(#0, const_100)",1.74137,"divide(230, 13208), multiply(#0, const_100)",False,"divide(230, 13208), multiply(#0, const_100)",False,agree,False,False,"divide(230, 13208), multiply(#0, const_100)",False,"divide(230, 13208), multiply(#0, const_100)",False,"divide(230, 13208), multiply(#0, const_100)",False,"The calculation correctly identifies capital lease obligations (230) as a part of total contractual obligations (13208). The division gives the decimal ratio, and multiplying by 100 converts it to a percentage, which matches the question's requirement for a percentage. All values are correctly extracted from the table, and the operations are properly sequenced.",False,False
